<root>
  <name value="Campus"/>
  <lot name="L1" capacity="268" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="344" count="0" weight="0.1" poi="A" order="2"/>
  <simulation monitored="0.20" search="0.0" arrival="0.9" departure="0.9" seed="5"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0" monitored="0.198797150352"/>
</root>

--------------------------
0.00 C L1 0
0.00 C L2 0
600.00 C L1 0
600.00 C L2 0
1200.00 C L1 0
1200.00 C L2 0
1800.00 C L1 0
1800.00 C L2 0
2400.00 C L1 0
2400.00 C L2 0
3000.00 C L1 0
3000.00 C L2 0
3600.00 C L1 0
3600.00 C L2 0
4200.00 C L1 0
4200.00 C L2 0
4800.00 C L1 0
4800.00 C L2 0
5400.00 C L1 0
5400.00 C L2 0
6000.00 C L1 0
6000.00 C L2 0
6600.00 C L1 0
6600.00 C L2 0
7200.00 C L1 0
7200.00 C L2 0
7800.00 C L1 0
7800.00 C L2 0
8400.00 C L1 0
8400.00 C L2 0
9000.00 C L1 0
9000.00 C L2 0
9600.00 C L1 0
9600.00 C L2 0
10200.00 C L1 0
10200.00 C L2 0
10800.00 C L1 0
10800.00 C L2 0
11400.00 C L1 0
11400.00 C L2 0
12000.00 C L1 0
12000.00 C L2 0
12600.00 C L1 0
12600.00 C L2 0
13200.00 C L1 0
13200.00 C L2 0
13800.00 C L1 0
13800.00 C L2 0
14400.00 C L1 0
14400.00 C L2 0
15000.00 C L1 0
15000.00 C L2 0
15600.00 C L1 0
15600.00 C L2 0
16200.00 C L1 0
16200.00 C L2 0
16800.00 C L1 0
16800.00 C L2 0
17400.00 C L1 0
17400.00 C L2 0
18000.00 C L1 0
18000.00 C L2 0
18600.00 C L1 0
18600.00 C L2 0
19200.00 C L1 0
19200.00 C L2 0
19800.00 C L1 0
19800.00 C L2 0
20400.00 C L1 0
20400.00 C L2 0
21000.00 C L1 0
21000.00 C L1 0
21000.00 C L2 0
21600.00 C L2 0
22200.00 C L2 0
22800.00 C L2 0
23400.00 C L2 0
24000.00 C L2 0
24600.00 C L2 0
24600.00 C L2 0
22200.00 C L1 0
22800.00 C L1 0
23400.00 C L1 0
24000.00 C L1 0
24600.00 C L1 0
25200.00 C L1 27
25800.00 C L1 27
25800.00 C L2 0
26400.00 C L1 27
26400.00 C L2 0
27000.00 C L1 27
27000.00 C L2 0
27600.00 C L1 27
27600.00 C L2 0
28200.00 C L1 27
28200.00 C L2 0
28800.00 C L1 54
28800.00 C L2 0
29400.00 C L1 54
29400.00 C L2 27
30000.00 C L1 81
30000.00 C L2 27
30600.00 C L1 108
30600.00 C L2 27
900.0 P* L1 0.989618145455 0:0.097 26:0.097 52:0.097 78:0.097 104:0.097 130:0.097 156:0.097 182:0.097 208:0.097 234:0.096 260:0.045
1800.0 P* L1 0.987563983603 0:0.097 26:0.097 52:0.097 78:0.097 104:0.097 130:0.097 156:0.097 182:0.097 208:0.097 234:0.094 260:0.048
2700.0 P* L1 0.986524391455 0:0.097 26:0.096 52:0.097 78:0.097 104:0.097 130:0.097 156:0.097 182:0.097 208:0.097 234:0.093 260:0.051
3600.0 P* L1 0.985872987208 0:0.097 26:0.096 52:0.097 78:0.097 104:0.097 130:0.097 156:0.097 182:0.097 208:0.097 234:0.092 260:0.052
4500.0 P* L1 0.985416515201 0:0.097 26:0.096 52:0.097 78:0.097 104:0.097 130:0.097 156:0.097 182:0.097 208:0.096 234:0.091 260:0.053
5400.0 P* L1 0.985073958354 0:0.098 26:0.096 52:0.097 78:0.097 104:0.097 130:0.097 156:0.097 182:0.097 208:0.096 234:0.091 260:0.054
6300.0 P* L1 0.984804705311 0:0.098 26:0.095 52:0.097 78:0.097 104:0.097 130:0.097 156:0.097 182:0.097 208:0.096 234:0.091 260:0.055
7200.0 P* L1 0.984585880325 0:0.098 26:0.095 52:0.097 78:0.097 104:0.097 130:0.097 156:0.097 182:0.097 208:0.096 234:0.090 260:0.056
