<root>
  <name value="Fast Fill"/>
  <lot name="L1" capacity="200" count="0" weight="0.9" poi="A" order="1"/>
  <lot name="L2" capacity="200" count="0" weight="0.1" poi="A" order="2"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <rate length="1H" arrival="300H" departure="10H"/>
  <rate length="3H" arrival="50H" departure="10H"/>
  <rate length="3H" arrival="10H" departure="50H"/>
  <rate length="1H" arrival="10H" departure="300H"/>
  <rate length="8H" arrival="10H" departure="10H"/>
  <simulation monitored="0.2" search="0.0" arrival="0.9" departure="0.9" seed="7"/>
  <estimation error="0.1" interval="900.0" seed="None" search="1.0"/>
</root>

--------------------------
58.87 C L1 0
58.87 C L2 0
140.87 C L1 1
140.87 C L2 0
154.63 A L1
154.63 P L1 1.0 0:0.084 20:0.101 40:0.101 60:0.101 80:0.101 100:0.101 120:0.101 140:0.101 160:0.101 180:0.106
154.63 P L2 0.986496477698 0:0.100 20:0.099 40:0.100 60:0.100 80:0.100 100:0.100 120:0.100 140:0.100 160:0.099 180:0.105
154.63 C L1 2
154.63 C L2 0
335.21 C L1 1
335.21 C L2 0
785.93 C L1 2
785.93 C L2 0
803.10 A L1
803.1 P L1 1.0 0:0.085 20:0.104 40:0.104 60:0.104 80:0.104 100:0.104 120:0.104 140:0.104 160:0.103 180:0.085
803.1 P L2 0.983848724222 0:0.100 20:0.099 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.099 180:0.105
803.10 C L1 3
803.10 C L2 0
935.90 C L1 4
935.90 C L2 0
1302.60 A L1
1302.6 P L1 1.0 0:0.087 20:0.106 40:0.107 60:0.107 80:0.107 100:0.107 120:0.107 140:0.106 160:0.101 180:0.066
1302.6 P L2 0.982507526144 0:0.100 20:0.099 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.099 180:0.105
1302.60 C L1 5
1302.60 C L2 0
1385.63 C L1 6
1385.63 C L2 0
1397.54 C L1 5
1397.54 C L2 0
1702.73 C L1 6
1702.73 C L2 0
1829.77 C L1 5
1829.77 C L2 0
1875.00 D L1
1875.0 P L1 1.0 0:0.072 20:0.107 40:0.109 60:0.109 80:0.109 100:0.109 120:0.109 140:0.108 160:0.101 180:0.066
1875.0 P L2 0.981666970534 0:0.101 20:0.098 40:0.099 60:0.100 80:0.100 100:0.100 120:0.100 140:0.099 160:0.098 180:0.106
1875.00 C L1 4
1875.00 C L2 0
1889.40 C L1 3
1889.40 C L2 0
2451.72 C L1 4
2451.72 C L2 0
2639.37 C L1 3
2639.37 C L2 0
2763.93 C L1 4
2763.93 C L2 0
2870.73 C L1 3
2870.73 C L2 0
3046.20 C L1 2
3046.20 C L2 0
3112.43 C L1 1
3112.43 C L2 0
3138.93 C L1 2
3138.93 C L2 0
3162.29 C L1 1
3162.29 C L2 0
3169.17 C L1 2
3169.17 C L2 0
2775.0 P* L1 0.994640643394 0:0.074 20:0.106 40:0.109 60:0.109 80:0.109 100:0.109 120:0.109 140:0.108 160:0.100 180:0.067
2775.0 P* L2 0.981077902431 0:0.101 20:0.098 40:0.099 60:0.099 80:0.100 100:0.100 120:0.100 140:0.099 160:0.098 180:0.106
3329.15 A L1
